word,language,partOfSpeech,ipa,definitions,examples,difficulty,notes
algorithm,en,noun,/ˈælɡərɪðəm/,A step-by-step procedure for solving a problem,The sorting algorithm is very efficient,MEDIUM,Computer Science
serendipity,en,noun,/ˌserənˈdɪpɪti/,The occurrence of events by chance in a happy way,Finding that book was pure serendipity,HARD,
ephemeral,en,adjective,/ɪˈfemərəl/,Lasting for a very short time,The beauty of the sunset was ephemeral,EXPERT,Literary
ubiquitous,en,adjective,/juːˈbɪkwɪtəs/,Present everywhere at once,Smartphones are ubiquitous in modern society,MEDIUM,
paradigm,en,noun,/ˈpærədaɪm/,A typical example or pattern of something,This represents a new paradigm in education,HARD,
eloquent,en,adjective,/ˈeləkwənt/,Fluent and persuasive in speaking,She gave an eloquent speech,MEDIUM,
ambiguous,en,adjective,/æmˈbɪɡjuəs/,Open to more than one interpretation,The instructions were ambiguous,MEDIUM,
resilient,en,adjective,/rɪˈzɪliənt/,Able to recover quickly from difficulties,Children are remarkably resilient,EASY,
meticulous,en,adjective,/məˈtɪkjələs/,Showing great attention to detail,He was meticulous in his research,HARD,
synthesize,en,verb,/ˈsɪnθəsaɪz/,Combine elements to form a whole,Scientists can synthesize new compounds,MEDIUM,Chemistry
